omega_x,omega_y,qx,qy,Mx,My,u0,u1,psi,ind,t,x,y,z,xd,yd,zd
7.0,16.0,0.0008238519076257944,0.0010333069367334247,-0.8380568181818182,-0.22749999999999998,0.0,0.0,0.06612667441368103,0.0,29.505,0.2960179567337036,0.0036114636342972515,0.6369890689849853,0.2999974489212036,-2.086162567138672e-07,0.6017955899238586
-28.0,-11.0,0.0008238519076257944,0.0010333069367334247,-0.8551439393939393,-0.22095075757575758,0.0,0.0,0.06612667441368103,0.0,29.509,0.2960210144519806,0.003709715697914362,0.6369889855384827,0.2999974489212036,-2.086162567138672e-07,0.6022100687026978
-28.0,-10.0,0.0008238519076257944,0.0010333069367334247,-0.9114772727272727,-0.2630530303030303,0.0,0.0,0.06612667441368103,0.0,29.513,0.29602407217025756,0.003807967761531472,0.63698890209198,0.2999974489212036,-2.086162567138672e-07,0.6026686429977417
-8.0,7.0,0.0007386456127278507,0.00104446557816118,-0.9235416666666667,-0.27787500000000004,0.0,0.0,0.06612667441368103,0.0,29.517,0.2960255086421967,0.0038574109319597484,0.636988890171051,0.2999974489212036,-2.086162567138672e-07,0.6031716346740723
10.0,22.0,0.0007386456127278507,0.00104446557816118,-0.9657424242424243,-0.3199280303030303,0.0,0.0,0.06612667441368103,0.0,29.521,0.29602753520011904,0.00390768120996654,0.6369929790496827,0.2999974489212036,-2.086162567138672e-07,0.6037180185317993
14.0,31.0,0.0007308751810342073,0.000981610151939094,-1.007401515151515,-0.3781325757575758,0.0,0.0,0.06612667441368103,0.0,29.525,0.2959255874156952,0.0039322515949606895,0.6368914246559143,0.2999974489212036,-2.086162567138672e-07,0.6043084502220154
0.0,15.0,0.0007308751810342073,0.000981610151939094,-1.0308901515151514,-0.3699090909090909,0.0,0.0,0.06612667441368103,0.0,29.529,0.2958200812339783,0.003956826543435455,0.6367863893508912,0.2999974489212036,-2.086162567138672e-07,0.6049428582191467
8.0,20.0,0.0007308751810342073,0.000981610151939094,-1.0674280303030301,-0.3686780303030303,0.0,0.0,0.06612667441368103,0.0,29.533,0.2957653760910034,0.003980734013020992,0.6366331934928894,0.2999974489212036,-2.086162567138672e-07,0.6056208848953247
26.0,36.0,0.000765825214330107,0.0008709594258107245,-1.0892916666666663,-0.3375568181818182,0.0,0.0,0.06612667441368103,0.0,29.537,0.2957141935825348,0.003992685675621032,0.6364789605140686,0.2999974489212036,-2.086162567138672e-07,0.6063438415527344
52.0,61.0,0.0007609161548316479,0.0007503730012103915,-1.0058257575757572,-0.23203030303030303,0.0,0.0,0.06612667441368103,0.0,29.541,0.29568466544151306,0.004001652542501688,0.636299479007721,0.2999974489212036,-2.086162567138672e-07,0.607110071182251
46.0,46.0,0.0009379989351145923,0.0005285436054691672,-0.9433371212121209,-0.08179166666666662,0.0,0.0,0.06612667441368103,0.0,29.545,0.2957620143890381,0.004007198009639978,0.6362235188484192,0.2999974489212036,-2.086162567138672e-07,0.6079201340675354
42.0,24.0,0.0009394186199642718,0.0005871332832612097,-0.9181249999999995,-0.0013295454545454,0.0,0.0,0.06612667441368103,0.0,29.549,0.2958427906036377,0.0040118608623743056,0.6361512064933776,0.2999974489212036,-2.086162567138672e-07,0.6087738990783691
43.0,7.0,0.0009394186199642718,0.0005871332832612097,-0.9389545454545452,-0.014428030303030238,0.0,0.0,0.06612667441368103,0.0,29.553,0.29577893018722534,0.004014120344072581,0.636116361618042,0.2999974489212036,-2.086162567138672e-07,0.609672236442566
25.0,-12.0,0.0011634802212938666,0.0004481234063860029,-0.9376249999999999,0.0159545454545456,0.0,0.0,0.06612667441368103,0.0,29.557,0.29571506977081297,0.004016379825770855,0.6360815167427063,0.2999974489212036,-2.086162567138672e-07,0.6106142640113831
15.0,-25.0,0.0011634802212938666,0.0004481234063860029,-1.0209924242424244,-0.03249999999999993,0.0,0.0,0.06612667441368103,0.0,29.561,0.2955805003643036,0.004018507245928049,0.6360665082931518,0.2999974489212036,-2.086162567138672e-07,0.6116006970405579
9.0,-42.0,0.0012806977611035109,0.0005314358859322965,-1.018234848484849,-0.05534848484848478,0.0,0.0,0.06612667441368103,0.0,29.565,0.2954459309577942,0.004020634666085243,0.6360514998435974,0.2999974489212036,-2.086162567138672e-07,0.6126309990882873
18.0,-44.0,0.0012832825304940343,0.00042211293475702405,-0.9629356060606064,-0.0338787878787878,0.0,0.0,0.06612667441368103,0.0,29.569,0.2953070759773254,0.004021611344069242,0.6360365152359009,0.2999974489212036,-2.086162567138672e-07,0.6137051343917846
22.0,-48.0,0.0012832825304940343,0.00042211293475702405,-0.9681553030303032,-0.06037121212121201,0.0,0.0,0.06612667441368103,0.0,29.573,0.2952620565891266,0.004025658871978521,0.636032223701477,0.2999974489212036,-2.086162567138672e-07,0.6148231863975525
44.0,-34.0,0.0013611308531835675,0.0006471138913184404,-0.9415643939393938,-0.11990530303030296,0.0,0.0,0.06612667441368103,0.0,29.577,0.29521703720092773,0.0040297063998878,0.6360279321670532,0.2999974489212036,-2.086162567138672e-07,0.6159855246543884
36.0,-31.0,0.0013611308531835675,0.0006471138913184404,-0.7939848484848483,-0.051113636363636236,0.0,0.0,0.06612667441368103,0.0,29.581,0.29518209099769593,0.004028721898794174,0.6360251784324646,0.2999974489212036,-2.086162567138672e-07,0.617190706729889
-2.0,-59.0,0.0015404868172481656,0.0008297478780150414,-0.7788181818181812,-0.027329545454545377,0.0,0.0,0.06612667441368103,0.0,29.585,0.29514714479446413,0.004027737397700548,0.636022424697876,0.2999974489212036,-2.086162567138672e-07,0.618440055847168
0.0,-50.0,0.0015404868172481656,0.0008297478780150414,-0.8469696969696969,-0.1256174242424241,0.0,0.0,0.06612667441368103,0.0,29.589,0.2951115548610687,0.004025286436080933,0.6360248565673828,0.2999974489212036,-2.086162567138672e-07,0.6197335720062256
11.0,-22.0,0.0015404868172481656,0.0008297478780150414,-0.8547499999999999,-0.18401893939393937,0.0,0.0,0.06612667441368103,0.0,29.593,0.29507596492767335,0.004022835474461317,0.6360272884368896,0.2999974489212036,-2.086162567138672e-07,0.6210712432861328
-25.0,-35.0,0.0015513953985646367,0.0010749140055850148,-0.8886287878787883,-0.22370833333333334,0.0,0.0,0.06612667441368103,0.0,29.597,0.29503626823425294,0.004017987847328186,0.63602534532547,0.2999974489212036,-2.086162567138672e-07,0.6224539995193481
-39.0,-54.0,0.0015513953985646367,0.0010749140055850148,-0.9864734848484851,-0.2943219696969697,0.0,0.0,0.06612667441368103,0.0,29.601,0.29503048658370973,0.0040169254876673225,0.6360358357429504,0.2999974489212036,-2.086162567138672e-07,0.6238801002502441
-22.0,-35.0,0.0014020117232576013,0.0012894236715510488,-0.9764772727272735,-0.294125,0.0,0.0,0.06612667441368103,0.0,29.605,0.29502321481704713,0.004014618881046772,0.6360394358634949,0.2999974489212036,-2.086162567138672e-07,0.6253495812416077
-2.0,-1.0,0.0014020117232576013,0.0012894236715510488,-0.945011363636364,-0.2618219696969698,0.0,0.0,0.06612667441368103,0.0,29.609,0.2950166642665863,0.004010992590337992,0.6360495448112488,0.2999974489212036,-2.086162567138672e-07,0.6268633246421814
20.0,27.0,0.0014020117232576013,0.0012894236715510488,-0.9120681818181822,-0.2593598484848485,0.0,0.0,0.06612667441368103,0.0,29.613,0.2950101137161255,0.004007366299629211,0.6360596537590026,0.2999974489212036,-2.086162567138672e-07,0.628420639038086
21.0,25.0,0.0014075570506975055,0.0012889091158285737,-0.8864128787878791,-0.20228787878787885,0.0,0.0,0.06612667441368103,0.0,29.617,0.2950070798397064,0.004005693085491657,0.6360646843910217,0.2999974489212036,-2.086162567138672e-07,0.6300222635269165
0.0,5.0,0.0014075570506975055,0.0012889091158285737,-0.933291666666667,-0.26393939393939403,0.0,0.0,0.06612667441368103,0.0,29.621,0.2950046956539154,0.004002616181969643,0.6360698103904724,0.2999974489212036,-2.086162567138672e-07,0.6316674828529358
-13.0,-10.0,0.0014441555831581354,0.001224437030032277,-0.9697310606060612,-0.3320909090909092,0.0,0.0,0.06612667441368103,0.0,29.625,0.2950038015842438,0.004000783525407314,0.6360818266868591,0.2999974489212036,-2.086162567138672e-07,0.6333572745323182
-5.0,9.0,0.0014441555831581354,0.001224437030032277,-0.9717500000000008,-0.36759469696969715,0.0,0.0,0.06612667441368103,0.0,29.629,0.2950031578540802,0.003999248892068863,0.6360819697380066,0.2999974489212036,-2.086162567138672e-07,0.6350907206535339
-3.0,11.0,0.0014441555831581354,0.001224437030032277,-0.9927272727272737,-0.34144696969696986,0.0,0.0,0.06612667441368103,0.0,29.633,0.29500259160995485,0.00399738997220993,0.6360807180404663,0.2999974489212036,-2.086162567138672e-07,0.636868691444397
16.0,37.0,0.001411242876201868,0.0011976887471973896,-0.9626893939393945,-0.3217500000000001,0.0,0.0,0.06612667441368103,0.0,29.637,0.2950023293495178,0.003996474575251341,0.6360804438591003,0.2999974489212036,-2.086162567138672e-07,0.6386904001235962
19.0,40.0,0.001411242876201868,0.0011976887471973896,-0.9620984848484853,-0.2962424242424245,0.0,0.0,0.06612667441368103,0.0,29.641,0.29500324130058286,0.003994689043611288,0.6360909342765808,0.2999974489212036,-2.086162567138672e-07,0.6405557632446289
5.0,29.0,0.001411242876201868,0.0011976887471973896,-0.9539242424242417,-0.2607878787878791,0.0,0.0,0.06612667441368103,0.0,29.645,0.29500343203544616,0.003994161356240511,0.6360866308212281,0.2999974489212036,-2.086162567138672e-07,0.6424649119377136
11.0,32.0,0.0014908364973962307,0.0010186930885538459,-0.9801704545454542,-0.24645833333333372,0.0,0.0,0.06612667441368103,0.0,29.649,0.29500510096549987,0.0039911183528602125,0.6361036181449891,0.2999974489212036,-2.086162567138672e-07,0.6444188117980957
4.0,21.0,0.0014908364973962307,0.0010186930885538459,-0.9318636363636358,-0.1839696969696975,0.0,0.0,0.06612667441368103,0.0,29.653,0.2950055837631226,0.003990306612104177,0.6361038088798523,0.2999974489212036,-2.086162567138672e-07,0.6464161396026611
21.0,28.0,0.0015307990834116936,0.0008774432935751975,-0.933981060606061,-0.20056439393939432,0.0,0.0,0.06612667441368103,0.0,29.657,0.29500635266304015,0.003988994937390089,0.6361124753952027,0.2999974489212036,-2.086162567138672e-07,0.6484580636024475
10.0,16.0,0.0015307990834116936,0.0008774432935751975,-0.927973484848485,-0.1625984848484851,0.0,0.0,0.06612667441368103,0.0,29.661,0.2950077772140503,0.003986575361341238,0.6361244678497314,0.2999974489212036,-2.086162567138672e-07,0.6505432724952698
6.0,5.0,0.0015961631434038281,0.0007785835769027472,-0.9276287878787883,-0.1697878787878789,0.0,0.0,0.06612667441368103,0.0,29.665,0.2950084686279297,0.003985405620187521,0.6361301898956299,0.2999974489212036,-2.086162567138672e-07,0.6526726484298706
-4.0,-5.0,0.0015961631434038281,0.0007785835769027472,-0.9143333333333331,-0.16353409090909105,0.0,0.0,0.06612667441368103,0.0,29.669,0.2950097322463989,0.003983127884566784,0.636145555973053,0.2999974489212036,-2.086162567138672e-07,0.6548462867736816
-8.0,-9.0,0.0015961631434038281,0.0007785835769027472,-0.9849469696969692,-0.20145075757575767,0.0,0.0,0.06612667441368103,0.0,29.673,0.29501034021377565,0.003982026688754558,0.6361529231071472,0.2999974489212036,-2.086162567138672e-07,0.6570627927780152
5.0,-7.0,0.0015835996018722653,0.0008024846320040524,-0.9849962121212116,-0.18850000000000017,0.0,0.0,0.06612667441368103,0.0,29.677,0.29501094818115237,0.003980925492942333,0.6361602902412414,0.2999974489212036,-2.086162567138672e-07,0.6593243598937988
7.0,-5.0,0.0015835996018722653,0.0008024846320040524,-0.9782007575757575,-0.17963636363636368,0.0,0.0,0.06612667441368103,0.0,29.681,0.2950121104717255,0.003978733438998461,0.6361838698387146,0.2999974489212036,-2.086162567138672e-07,0.6616296410560608
